00Z 01 01 2017, 0.00, 18.79
12Z 01 01 2017, 6.10, 8.20
00Z 02 01 2017, 0.00, 4.26
12Z 02 01 2017, 0.00, 5.21
00Z 03 01 2017, 0.00, 5.38
12Z 03 01 2017, 0.00, 4.67
00Z 04 01 2017, 0.00, 6.14
12Z 04 01 2017, 0.00, 5.68
00Z 05 01 2017, 0.00, 5.73
12Z 05 01 2017, 0.00, 18.07
00Z 06 01 2017, 0.00, 28.00
12Z 06 01 2017, 14.42, 23.05
00Z 07 01 2017, 54.39, 20.67
12Z 07 01 2017, 4.08, 16.56
00Z 08 01 2017, 0.06, 22.67
12Z 08 01 2017, 0.77, 21.86
00Z 09 01 2017, 0.00, 19.32
12Z 09 01 2017, 6.85, 12.20
00Z 10 01 2017, 0.00, 18.44
12Z 10 01 2017, 0.00, 25.26
00Z 11 01 2017, 0.00, 22.72
12Z 11 01 2017, 0.00, 11.10
00Z 12 01 2017, 23.59, 13.81
12Z 12 01 2017, 50.95, 8.31
00Z 13 01 2017, 0.00, 7.35
12Z 13 01 2017, 1.38, 9.49
00Z 14 01 2017, 5.91, 10.80
12Z 14 01 2017, 28.71, 12.00
00Z 15 01 2017, 0.58, 13.21
12Z 15 01 2017, 0.32, 15.64
00Z 16 01 2017, 0.83, 16.17
12Z 16 01 2017, 0.00, 13.28
00Z 17 01 2017, 0.00, 10.83
12Z 17 01 2017, 0.00, 11.53
00Z 18 01 2017, 0.00, 12.92
12Z 18 01 2017, 20.79, 13.80
00Z 19 01 2017, 0.00, 11.24
12Z 19 01 2017, 0.00, 10.78
00Z 20 01 2017, 0.00, 9.17
12Z 20 01 2017, 0.00, 7.44
00Z 21 01 2017, 0.00, 6.44
12Z 21 01 2017, 1.57, 7.49
00Z 22 01 2017, 0.00, 10.91
12Z 22 01 2017, 0.00, 13.37
00Z 23 01 2017, 0.06, 10.93
12Z 23 01 2017, 3.58, 8.38
00Z 24 01 2017, 0.00, 24.31
12Z 24 01 2017, 47.87, 16.61
00Z 25 01 2017, 1.09, 18.89
